user_id	contacts
17998	{"contacts": [2243835, 5196887, 5793701, 8751275, 4354710, 4777531]}
18570	{"contacts": [5764790, 3260533]}
18779	{"contacts": [2827863, 6388748, 5587197, 1494377, 3886325]}
18976	{"contacts": [7554039, 6432281, 9449173, 9211350]}
19884	{"contacts": [2216746, 8137590, 10509663]}
20088	{"contacts": [9281855, 4574758, 10762507, 6976026]}
20354	{"contacts": [5760976, 754923, 5767014]}
20889	{"contacts": [7512728, 10750991]}
21442	{"contacts": [5066436]}
21705	{"contacts": [4333193, 10528836, 3228979]}
21859	{"contacts": [10513389]}
22031	{"contacts": [8116018, 4634770, 10257617]}
22272	{"contacts": [3017651]}
22633	{"contacts": [4883303]}
23108	{"contacts": [4992999, 10904958]}
24892	{"contacts": [7871617, 9651956, 3002541]}
24986	{"contacts": [10080655]}
25933	{"contacts": [9449173]}
26223	{"contacts": [4909025, 8264718, 5989729, 5738581]}
26439	{"contacts": [9865905, 4006593, 10483292, 5280329, 5620223]}
26712	{"contacts": [6827390, 10969759]}
27150	{"contacts": [1918495, 8703670, 7846345, 849514]}
27186	{"contacts": [6631895, 447512]}
28337	{"contacts": [9571447]}
28491	{"contacts": [7224057, 3436950, 2072826]}
29340	{"contacts": [10514768, 4632935, 2605332, 10568022, 7078656, 10923723]}
29428	{"contacts": [6663899]}
29982	{"contacts": [7512478, 9573706, 449598, 5496874, 8161409, 4696977, 685596]}
30209	{"contacts": [4593485, 5777368, 5016719]}
30230	{"contacts": [8127728, 9085626, 2646864]}
30951	{"contacts": [5764790, 463978, 5476867, 1059521, 7260317, 5022546]}
31008	{"contacts": [7249041, 7261273, 534256, 4396845]}
31869	{"contacts": [7811923, 7538951, 134430, 5625828, 9197476, 3026132, 10978909]}
31913	{"contacts": [9059506]}
32014	{"contacts": [4105833, 3524366, 5022333]}
32063	{"contacts": [6987851, 2903759, 5266245, 4160616]}
32464	{"contacts": [6490200, 2714727]}
32597	{"contacts": [7921771, 2949248]}
32871	{"contacts": [8703783, 9320004, 484976, 9648420, 1197912, 9840270]}
33187	{"contacts": [6959364, 4375528, 5295477]}
33388	{"contacts": [6631445, 5643854]}
34511	{"contacts": [7119996, 7453759]}
35133	{"contacts": [6662294]}
35759	{"contacts": [10161173, 3408022, 1049765, 4005353, 6687662, 3325340]}
35918	{"contacts": [1070116]}
36878	{"contacts": [5748524, 8118214, 7554201]}
38305	{"contacts": [8398080]}
38384	{"contacts": [4288030]}
38602	{"contacts": [6926919, 5869117, 7646375, 5011893, 4430455, 5617614]}
38742	{"contacts": [10453143, 1935175, 9926340, 326320, 8492709]}
38866	{"contacts": [6705148, 8920588]}
39045	{"contacts": [3984808, 9289903, 4695018]}
39267	{"contacts": [7604021]}
40210	{"contacts": [10563273, 7642214, 4161128]}
40657	{"contacts": [7236922, 1958065, 8622838]}
41132	{"contacts": [4278603]}
41509	{"contacts": [8118918, 389034]}
41898	{"contacts": [4109398, 10625728]}
42520	{"contacts": [9629198]}
43148	{"contacts": [3703665, 8413131, 3778704, 1528292]}
43897	{"contacts": [10159681, 10774117, 10776900, 10491443, 7328570, 5025279]}
44587	{"contacts": [7659702, 8557315, 1234994]}
44784	{"contacts": [7418246, 4216438]}
44900	{"contacts": [4275543, 837523]}
45000	{"contacts": [5556350, 2667374, 3616034]}
46958	{"contacts": [10763845, 4001179, 9061912, 111535, 6452885, 5296125, 4143187, 3946675]}
47124	{"contacts": [5661544]}
47948	{"contacts": [1341089, 9609730]}
49128	{"contacts": [3911792]}
49605	{"contacts": [1648668, 6382590, 5235171, 5569976, 9986816, 5583988]}
49741	{"contacts": [9001410, 7834770, 7057820]}
49960	{"contacts": [4277886, 6729993]}
50581	{"contacts": [3153004]}
50590	{"contacts": [128615, 10591535]}
50751	{"contacts": [4288912, 9064810, 7896720, 4708862]}
51062	{"contacts": [2652154, 2733930]}
51405	{"contacts": [6706279]}
51599	{"contacts": [3096231, 10810719, 7900671, 2141084, 2743247, 9827148]}
52163	{"contacts": [10189907]}
52344	{"contacts": [7841324, 9314034]}
53119	{"contacts": [5752936]}
53633	{"contacts": [7811318]}
54843	{"contacts": [2561451]}
56636	{"contacts": [4897086, 7921006]}
56658	{"contacts": [9574310, 8404855, 1644961, 4308870, 4613496, 5804406, 872026, 5007174, 4418820, 5017763, 10329217]}
56775	{"contacts": [769095, 1070116]}
56897	{"contacts": [6660841, 8198232]}
57066	{"contacts": [5617119]}
57751	{"contacts": [3104146]}
58122	{"contacts": [3153378, 9352318]}
59091	{"contacts": [1355615]}
59518	{"contacts": [10182886, 4132884, 7429984]}
60754	{"contacts": [6172994]}
61517	{"contacts": [4602934]}
61806	{"contacts": [8748296]}
62095	{"contacts": [3452798]}
62178	{"contacts": [1994082, 3501945]}
62306	{"contacts": [10198737, 2946964]}
62313	{"contacts": [1476, 4280776, 7521800, 5764790, 9340364, 10300858, 209566]}
62423	{"contacts": [2335377]}
62577	{"contacts": [3984808, 3127151, 9311150, 314805, 8142217, 7265089, 5842407, 7022145, 3199830, 8230870, 6223239, 9165684, 3300059, 1535234, 4201110]}
62910	{"contacts": [1662277, 3731403]}
63124	{"contacts": [9868813, 5770052, 5490695, 878623, 2949248, 6019084]}
64641	{"contacts": [7839861, 3733200, 10799674, 9331301, 3167175]}
64708	{"contacts": [5922215]}
66567	{"contacts": [8453707]}
70100	{"contacts": [9055031]}
74184	{"contacts": [450927, 5806039, 7002056, 7656225]}
74321	{"contacts": [4877217]}
74433	{"contacts": [7822929, 7841469]}
74729	{"contacts": [10012752]}
74828	{"contacts": [7512478, 6924793, 7809962, 2250429, 4663004, 882596, 2700360, 7720977]}
74881	{"contacts": [3440101]}
75620	{"contacts": [10234416, 5328955]}
76300	{"contacts": [8102179, 1653616, 3792291]}
76650	{"contacts": [472507]}
77103	{"contacts": [6384123]}
78034	{"contacts": [4118278]}
78094	{"contacts": [3988258, 6640671, 9318697, 627608]}
78439	{"contacts": [2847580, 7902110, 7027759]}
79326	{"contacts": [1341089, 1932130]}
79763	{"contacts": [9576939, 4040173, 6155463, 4992266]}
80103	{"contacts": [5766878, 4306079]}
80781	{"contacts": [8102180, 9577199, 10181003, 10182161, 33526, 4310588, 858223, 9123933, 7378034]}
82736	{"contacts": [7597691]}
85245	{"contacts": [5166631]}
86909	{"contacts": [1392984, 7022145]}
87368	{"contacts": [9001089, 7266740]}
87525	{"contacts": [1679599, 7369344, 384154]}
88346	{"contacts": [4408339]}
88591	{"contacts": [7225837, 9325390, 2717772, 6854581, 7156123]}
89630	{"contacts": [5811350]}
90018	{"contacts": [7355740, 6211259, 4750134]}
91199	{"contacts": [7652559]}
91551	{"contacts": [7074630]}
91816	{"contacts": [7857558, 10858636, 8532281]}
92270	{"contacts": [5764790, 7833224, 5199818, 7569311, 5059350]}
92677	{"contacts": [773978, 1670615]}
92735	{"contacts": [1146029, 2051049, 4195320]}
93338	{"contacts": [5764790]}
93345	{"contacts": [810891]}
96632	{"contacts": [3321081]}
97029	{"contacts": [6101354]}
97212	{"contacts": [7512478, 3759699]}
97537	{"contacts": [9114205]}
98131	{"contacts": [2211785, 4571595, 3304383]}
98941	{"contacts": [10551253]}
99061	{"contacts": [6046503, 6688839]}
99576	{"contacts": [4864645, 8116469, 7740034, 8356055]}
99750	{"contacts": [10167074, 4879359, 10219757]}
100224	{"contacts": [5515226, 2050396, 4430455, 963436]}
100306	{"contacts": [2253493, 2376303, 8570146, 9197895]}
100405	{"contacts": [4629510, 2340438]}
100527	{"contacts": [1423711]}
102564	{"contacts": [1631400]}
104907	{"contacts": [1356298]}
105400	{"contacts": [3410329, 9608016, 2846440]}
105576	{"contacts": [5138643]}
106235	{"contacts": [1329543]}
106565	{"contacts": [1917199, 3106835, 9593576, 9116572]}
107688	{"contacts": [9645364]}
107804	{"contacts": [1330702]}
108256	{"contacts": [5869117, 4520657]}
108762	{"contacts": [1145259, 4126568, 7105940, 3903175, 959622]}
111535	{"contacts": [46958, 10811977]}
113150	{"contacts": [2120393, 4257279]}
114008	{"contacts": [3997638, 10014071, 8640736]}
114353	{"contacts": [5242138]}
115279	{"contacts": [1622521, 6106118, 3867989]}
115522	{"contacts": [9031091]}
117488	{"contacts": [6045189, 7544381, 3138105, 10200937, 10803981, 3188395, 1476402, 10020315, 7760181, 7772597]}
119889	{"contacts": [3395177]}
120087	{"contacts": [10485051]}
120351	{"contacts": [7048520]}
120822	{"contacts": [7062976, 6181018, 10336135, 9783313, 976442]}
121055	{"contacts": [6166617]}
121185	{"contacts": [3099021, 2877997]}
121274	{"contacts": [7817868, 1361715, 10200937, 6602107]}
122717	{"contacts": [7629241]}
125266	{"contacts": [1418171, 7752333]}
126009	{"contacts": [2046977]}
126846	{"contacts": [10308944]}
127727	{"contacts": [8239788]}
128428	{"contacts": [6799234]}
128448	{"contacts": [10200937]}
128725	{"contacts": [4354710, 6265451]}
129143	{"contacts": [10805213, 9336820, 1734869, 385154]}
129424	{"contacts": [6357849, 4616453, 1765869, 9715896]}
129722	{"contacts": [10159681, 4865940, 4384007, 1465324]}
129954	{"contacts": [9599166]}
130736	{"contacts": [8110465]}
132999	{"contacts": [5623286]}
133514	{"contacts": [8766683, 1186949, 995811]}
133904	{"contacts": [553428, 8581880]}
134430	{"contacts": [31869, 2072826, 9197476]}
135077	{"contacts": [4024431, 6981162, 8229822, 9709365]}
135240	{"contacts": [1078563, 6423903, 7960054]}
136173	{"contacts": [3819295, 1249082]}
136283	{"contacts": [7531599, 836485]}
136786	{"contacts": [1279045, 698232]}
136934	{"contacts": [6350906, 4299414, 10493480, 7606980, 7969971, 3603859]}
137638	{"contacts": [2327326, 4154530, 1517780]}
137781	{"contacts": [5168820, 6353396]}
138751	{"contacts": [4007354, 10585383, 4407737, 4415323]}
139001	{"contacts": [833363]}
139788	{"contacts": [2810621, 6638900, 1048971, 1059521, 9016758, 3722206, 7654848, 7378432]}
139859	{"contacts": [4311086]}
140388	{"contacts": [2248817, 9687728, 5970398, 674341]}
140949	{"contacts": [10770006, 9079393, 9982089]}
142354	{"contacts": [4870822, 1482021, 5902916, 9250925, 10442905]}
143057	{"contacts": [7073397]}
144118	{"contacts": [6927838, 10163645, 4285524, 5764790, 9632648, 5353059]}
145561	{"contacts": [7175875]}
145693	{"contacts": [4911233, 5959193]}
146841	{"contacts": [6763015]}
147547	{"contacts": [10301197]}
147864	{"contacts": [1946417]}
149431	{"contacts": [9385244]}
149449	{"contacts": [2517635, 6401864, 7089177]}
150309	{"contacts": [7971186]}
152723	{"contacts": [6395835, 1836691]}
152788	{"contacts": [9942118, 7100821]}
154271	{"contacts": [7933563]}
155837	{"contacts": [2336854, 10600409, 7401523, 1829898]}
156682	{"contacts": [7343074]}
157496	{"contacts": [8842867]}
158593	{"contacts": [7029817, 7964634]}
160412	{"contacts": [4615081]}
160760	{"contacts": [5591927]}
161031	{"contacts": [4348709, 6709154, 5864854]}
161089	{"contacts": [2076475]}
161992	{"contacts": [6642921, 4895812, 2334669, 7410724]}
162642	{"contacts": [11339, 7093747, 634963]}
163110	{"contacts": [9078537, 585373, 3956021]}
163323	{"contacts": [7319435, 9117303, 1816895, 5115727]}
165414	{"contacts": [1769606]}
165462	{"contacts": [3912861]}
166021	{"contacts": [10314729]}
166294	{"contacts": [776980, 9355928, 5850210, 5633388]}
166298	{"contacts": [3231213, 1775523]}
166714	{"contacts": [4101204]}
166875	{"contacts": [4009711]}
168142	{"contacts": [10309724]}
169644	{"contacts": [10468201, 4290519, 4386878]}
169835	{"contacts": [923137, 1525495]}
169880	{"contacts": [970064, 10989062]}
169971	{"contacts": [2224613, 6376759, 4175199]}
170565	{"contacts": [6367576, 2346756]}
170656	{"contacts": [10007953]}
170960	{"contacts": [10833475, 2376303, 8017996, 403802, 3060821]}
172064	{"contacts": [9594287]}
173302	{"contacts": [9251915]}
173543	{"contacts": [6822552]}
173589	{"contacts": [6717444]}
174751	{"contacts": [1478332, 7397954]}
175789	{"contacts": [3745411]}
175975	{"contacts": [3399833, 4585345, 2853788, 602857]}
176087	{"contacts": [4311755, 1421414]}
176113	{"contacts": [7942685, 148561, 4768716]}
176491	{"contacts": [1345890]}
176541	{"contacts": [10186998, 1553698]}
176869	{"contacts": [747367, 2581203]}
177562	{"contacts": [9229039]}
177962	{"contacts": [9985883, 9748154, 427519]}
178067	{"contacts": [542111, 7366070]}
178276	{"contacts": [3568655, 637794]}
178637	{"contacts": [2551684, 10309082]}
178818	{"contacts": [5122739]}
180313	{"contacts": [1727213, 7379134, 6506469]}
181325	{"contacts": [1769320, 10994601, 3664364]}
181461	{"contacts": [2671109, 10932696, 4479302, 1847098]}
181889	{"contacts": [9594451, 9433007]}
183109	{"contacts": [4187712]}
183913	{"contacts": [1203585]}
184370	{"contacts": [7250523]}
184511	{"contacts": [6645206]}
186361	{"contacts": [5764790, 1021666]}
187568	{"contacts": [4087535, 4183015]}
187651	{"contacts": [31935, 1779013]}
187800	{"contacts": [6416710, 1708813]}
187892	{"contacts": [3523617]}
188387	{"contacts": [7234392, 4009558, 2693007]}
188793	{"contacts": [3588184, 2441666]}
188985	{"contacts": [2803527, 302514, 10311691]}
189193	{"contacts": [2841082]}
191487	{"contacts": [9449268, 4846441]}
194062	{"contacts": [5590861]}
194965	{"contacts": [8411215, 5780936, 7892301]}
196240	{"contacts": [10406261]}
196288	{"contacts": [10652298, 4228358]}
196651	{"contacts": [7513169]}
196747	{"contacts": [10479727]}
196907	{"contacts": [9280770]}
197171	{"contacts": [1551283]}
197321	{"contacts": [10885866, 9449173, 628677]}
197439	{"contacts": [3636834]}
197597	{"contacts": [10068142]}
197831	{"contacts": [2709216]}
200150	{"contacts": [10165504]}
200449	{"contacts": [5032050, 2978735]}
202193	{"contacts": [1283991]}
202570	{"contacts": [9983501, 2380562, 4241398]}
203494	{"contacts": [606224]}
208197	{"contacts": [10644364]}
208563	{"contacts": [5804248]}
208773	{"contacts": [4909457]}
209360	{"contacts": [8213476, 6571931]}
209566	{"contacts": [4280776, 1634409, 62313, 10300858]}
210363	{"contacts": [2226506, 789361, 676186]}
211337	{"contacts": [8563961, 3561133, 10926087, 10953227, 281580]}
211542	{"contacts": [3886607]}
212478	{"contacts": [3701905, 9003606, 9633171, 10252475]}
213296	{"contacts": [7844560, 2864715, 7089947, 8865143, 9226768]}
213574	{"contacts": [6350981, 765485, 10493480, 5208121, 2877613, 8544177, 2660475, 2367150, 377257, 5052641, 8943960, 3368537, 1011945]}
216343	{"contacts": [2098636]}
216967	{"contacts": [4168380, 2107537, 2405441]}
219206	{"contacts": [5454409, 4283721, 4586054, 8720751, 10529114]}
219459	{"contacts": [6387396, 7131844, 1258039]}
219888	{"contacts": [945021]}
220893	{"contacts": [10990555]}
221369	{"contacts": [1329543, 6532152, 9186719, 7207291]}
223367	{"contacts": [3020278]}
223894	{"contacts": [6876287, 3362286]}
224223	{"contacts": [8626033]}
225324	{"contacts": [9476228]}
226609	{"contacts": [7078656, 6578539]}
227180	{"contacts": [2220043, 9020560, 3513357, 403503, 8066866]}
227246	{"contacts": [5331669]}
227624	{"contacts": [8845670]}
227657	{"contacts": [892999]}
228366	{"contacts": [8412085, 2992011, 6000435]}
228441	{"contacts": [1182113]}
230575	{"contacts": [6356123]}
230832	{"contacts": [9392554, 5059188, 3305938, 1537714]}
231060	{"contacts": [5738668]}
232129	{"contacts": [5910856]}
234051	{"contacts": [5703493, 3951077, 1004321, 11012699]}
234553	{"contacts": [9226487]}
234733	{"contacts": [2529602]}
234957	{"contacts": [8626033, 3034040]}
235135	{"contacts": [2316791, 3613475]}
237722	{"contacts": [2511908, 7523138, 6827240, 641922, 8372647]}
238184	{"contacts": [3440924, 4157462]}
239568	{"contacts": [4577883, 6225302, 2435728]}
239595	{"contacts": [3602080]}
239853	{"contacts": [9483394]}
240167	{"contacts": [7539473, 7361408, 426579]}
240255	{"contacts": [9903342, 7633965]}
241627	{"contacts": [4734279, 6836311, 399080]}
242868	{"contacts": [8284360, 10346660, 976442]}
243325	{"contacts": [10994346]}
244492	{"contacts": [2099927]}
244502	{"contacts": [10983109]}
244836	{"contacts": [7628826]}
245324	{"contacts": [10929011, 7170038]}
246959	{"contacts": [4869017, 373638]}
250843	{"contacts": [4194295]}
250856	{"contacts": [1360143]}
251117	{"contacts": [10622626, 8303831]}
251460	{"contacts": [2079136]}
255478	{"contacts": [7834759, 6424712, 10302226, 1827728, 10665951]}
255972	{"contacts": [2926912]}
258087	{"contacts": [5661544, 5999266]}
258407	{"contacts": [7144963]}
259580	{"contacts": [8947230]}
259629	{"contacts": [794637]}
260227	{"contacts": [7271620, 6100872]}
260807	{"contacts": [10468445]}
261436	{"contacts": [5481717, 8574537, 5103163]}
263789	{"contacts": [2511418, 791230]}
264229	{"contacts": [7171890, 10118720]}
266054	{"contacts": [740697]}
266910	{"contacts": [266998]}
266998	{"contacts": [266910]}
268367	{"contacts": [2155801]}
269329	{"contacts": [3348958]}
270564	{"contacts": [8578807]}
270774	{"contacts": [3796923, 1865994]}
271117	{"contacts": [1153892]}
273332	{"contacts": [36743, 9929409, 1696097, 6288531]}
273732	{"contacts": [1922254, 5764312, 7292661, 10532355]}
274393	{"contacts": [1515842]}
276239	{"contacts": [2290033]}
278897	{"contacts": [2436960]}
279060	{"contacts": [6000808]}
280112	{"contacts": [5922215, 10638759]}
280932	{"contacts": [7659296]}
281580	{"contacts": [211337]}
283142	{"contacts": [7379134, 5390759]}
294752	{"contacts": [176, 1938912, 4408560]}
295496	{"contacts": [10465909, 1062726, 9957299]}
296977	{"contacts": [3983087]}
297466	{"contacts": [444722, 6350811, 10180307, 6366227, 6380761, 9236484]}
297476	{"contacts": [2292545, 8800025, 3562585]}
298311	{"contacts": [2508104, 1629987, 2343167, 2062306]}
298367	{"contacts": [8406727, 4295449, 774168, 7049837]}
298990	{"contacts": [9285567, 6344610, 7525806, 2245054]}
299102	{"contacts": [4884831, 1056000, 535312, 1481472]}
299221	{"contacts": [6345132, 5005211, 9132878]}
299382	{"contacts": [1917584, 1625334, 6633826, 15820, 21028, 2528479, 9311561, 4065685, 4479055]}
299550	{"contacts": [4864676, 443345, 1924765, 1641999, 9607837]}
299910	{"contacts": [2212487, 3778704, 7935712, 2367402, 10323408]}
300350	{"contacts": [6336965, 1624886, 7234620, 2830467, 795468, 1093286, 10834061, 2603198, 7402102]}
300364	{"contacts": [10480666, 6965158, 10278358]}
300442	{"contacts": [7808375, 6931791, 8110596, 8121587, 6357849, 8427454, 2864221, 9490657]}
300515	{"contacts": [743920, 5185003, 3845829]}
301025	{"contacts": [2538, 9280095, 296640, 4280991, 6049763, 1041940, 9875292, 2812568, 4877969, 6664801, 2838142, 9951723, 10334396, 9209390]}
301409	{"contacts": [4283758, 7525725, 10765737, 677412]}
301640	{"contacts": [1803109]}
302339	{"contacts": [10747594, 2512647, 21147, 6981972, 9944246, 3620452]}
302363	{"contacts": [9874484, 10902204]}
302598	{"contacts": [7811336]}
302855	{"contacts": [10858796, 2923209]}
303529	{"contacts": [5159934, 6045007, 9575697, 8694420, 2827367, 1769320]}
303669	{"contacts": [740540, 8708250, 8442609, 1679270, 2271427]}
303727	{"contacts": [3687585, 6351400, 2533407, 1168427]}
304453	{"contacts": [6090137, 6806978]}
304888	{"contacts": [3112601, 3997657, 9001784, 9887027, 9632648, 2344728, 10640061]}
304944	{"contacts": [771323, 6986973, 9657141]}
305083	{"contacts": [8133543, 2302106, 1165568, 3235928]}
305379	{"contacts": [6107479]}
306088	{"contacts": [10470887, 9314451, 403503]}
306835	{"contacts": [7514285, 10461222, 2242962, 7075403, 2667200]}
306856	{"contacts": [1947057]}
307803	{"contacts": [8443537, 2014100, 553428, 2992123]}
307937	{"contacts": [5895766]}
308289	{"contacts": [5472475]}
308953	{"contacts": [4296733, 7867448, 10602053]}
309356	{"contacts": [10780208]}
311699	{"contacts": [9983597]}
313165	{"contacts": [1751691]}
313215	{"contacts": [9313189]}
313263	{"contacts": [8989917, 9020560, 10282896]}
313291	{"contacts": [10277732, 6857301]}
313641	{"contacts": [4569295, 9904808, 6299183]}
314097	{"contacts": [6103310, 554184]}
314183	{"contacts": [2213752, 10462749, 5262237, 5611114, 9737460]}
314805	{"contacts": [3096168, 2507577, 740162, 3984808, 9596718, 8454988, 62577, 3778704, 2012984, 2608368, 1434961, 5562334, 3814193, 7935712, 9114205, 10897024, 5900222, 3551479, 7379134, 6832054]}
314829	{"contacts": [8995212]}
315136	{"contacts": [9000347]}
315487	{"contacts": [2833750, 4317878, 3225464]}
316213	{"contacts": [793597, 6105572, 7899809, 6547889]}
316712	{"contacts": [2614368, 10017452]}
318137	{"contacts": [3983461, 6052193, 10200937, 2291602, 4092462, 3508868]}
318613	{"contacts": [1330286]}
319101	{"contacts": [6732745]}
319516	{"contacts": [1172795]}
321165	{"contacts": [302514, 9408429]}
321459	{"contacts": [3413929, 5192193, 9755414, 5661894]}
322033	{"contacts": [7273019]}
322936	{"contacts": [7572076]}
325245	{"contacts": [7339787]}
325836	{"contacts": [5870635]}
327431	{"contacts": [4282555, 7858172]}
327463	{"contacts": [4692735, 8578105, 9194175, 1615328]}
332119	{"contacts": [6681060, 7570802, 9413001]}
332178	{"contacts": [3727804, 5811824, 6166617]}
332289	{"contacts": [6401704]}
333763	{"contacts": [10465963, 4297656, 2022327, 9409520, 10622626, 3871511, 5065371]}
334063	{"contacts": [3430061, 8453064]}
334258	{"contacts": [10470887]}
334964	{"contacts": [9046277, 8826975]}
335209	{"contacts": [9945677]}
335734	{"contacts": [4957561]}
337255	{"contacts": [6346863, 3555553, 8314351, 7466189]}
337616	{"contacts": [10755322]}
338005	{"contacts": [4369434]}
339567	{"contacts": [8424651, 10616424]}
339831	{"contacts": [6387694, 4667972, 2356680]}
342643	{"contacts": [2314207]}
343126	{"contacts": [7834759]}
344098	{"contacts": [4288828]}
344749	{"contacts": [6345132]}
345396	{"contacts": [6732745]}
347585	{"contacts": [2288740]}
347764	{"contacts": [4162396]}
350352	{"contacts": [741706, 2253762, 811344, 2634842, 5590861]}
350609	{"contacts": [3426836, 10612429]}
351769	{"contacts": [466202]}
352318	{"contacts": [8149044]}
352433	{"contacts": [9892988, 1364792, 7034534, 7330702]}
352455	{"contacts": [6934000, 1979361, 10529832]}
352547	{"contacts": [1703637]}
352957	{"contacts": [10200937, 3554157]}
354961	{"contacts": [10820882]}
355562	{"contacts": [3235039, 1562537]}
355715	{"contacts": [3107790, 1159478]}
356759	{"contacts": [1344121, 7883269, 10320111, 10127384]}
356779	{"contacts": [10478830]}
357092	{"contacts": [6165930]}
357344	{"contacts": [1966243]}
358193	{"contacts": [9126297]}
358292	{"contacts": [7857783, 2271427, 3784008, 3832272, 2067309, 5333055, 6321173]}
361190	{"contacts": [150576]}
361897	{"contacts": [335205]}
362092	{"contacts": [4306079]}
364025	{"contacts": [4395036, 7453759]}
364775	{"contacts": [10943043]}
365869	{"contacts": [2334262, 10032849]}
365997	{"contacts": [7220003]}
366273	{"contacts": [9352318]}
367946	{"contacts": [848862, 8526692, 1461610]}
368372	{"contacts": [2334262, 4462980]}
369314	{"contacts": [723601]}
369810	{"contacts": [9324602]}
370989	{"contacts": [9339063]}
371191	{"contacts": [6635783, 5757384, 1656132, 9921775, 8451664, 4043068, 5221500, 1462721, 4479302, 5385259]}
372828	{"contacts": [3714397]}
372853	{"contacts": [6941543, 1998273, 9805665]}
373418	{"contacts": [9725252]}
373464	{"contacts": [6997829, 6719582, 10590697, 884596, 9134261, 4132084, 1210291]}
373638	{"contacts": [8780181, 246959]}
376383	{"contacts": [8538530]}
376857	{"contacts": [5764790, 7245568, 2032348, 2642365, 901808, 5033264]}
377073	{"contacts": [8708250]}
377194	{"contacts": [6367053]}
377257	{"contacts": [5764790, 9606793, 9340756, 10582583, 7963546, 4768974, 213574, 7456411]}
377270	{"contacts": [9084950]}
378059	{"contacts": [7687388, 7100977]}
378841	{"contacts": [1843473]}
379442	{"contacts": [10805693, 1737332, 7062154, 6767099, 4709495]}
380375	{"contacts": [110095, 647788, 7140103]}
380586	{"contacts": [6876030]}
383216	{"contacts": [5190588, 6100104]}
384547	{"contacts": [9300932]}
385154	{"contacts": [4310116, 10494561, 129143]}
385193	{"contacts": [2063175]}
385742	{"contacts": [1551970]}
385749	{"contacts": [5284989]}
385864	{"contacts": [1927807, 1234392, 7748387]}
386250	{"contacts": [6196068, 5918016]}
386487	{"contacts": [9965797]}
386775	{"contacts": [7727018, 4200041]}
386847	{"contacts": [10781838]}
389346	{"contacts": [2678435]}
389355	{"contacts": [3162530, 1821079]}
389501	{"contacts": [8931915, 2184478]}
390158	{"contacts": [1192664]}
390723	{"contacts": [8506084]}
391082	{"contacts": [10161056, 2956108, 4161105]}
393249	{"contacts": [5993980]}
393583	{"contacts": [7808623, 10463435, 7039729, 4139247, 6845870]}
395093	{"contacts": [10930797]}
395712	{"contacts": [3709749]}
396543	{"contacts": [8488350, 10021906, 8586498]}
397327	{"contacts": [2390180]}
398148	{"contacts": [1812956, 8943960]}
398708	{"contacts": [5566166]}
